Starting ChromeDriver 79.0.3945.36 (3582db32b33893869b8c1339e8f4d9ed1816f143-refs/branch-heads/3945@{#614}) on port 9515
Only local connections are allowed.
Please protect ports used by ChromeDriver and related test frameworks to prevent access by malicious code.
[1576893600.734][WARNING]: Timed out connecting to Chrome, retrying...
[1576893604.772][WARNING]: Timed out connecting to Chrome, retrying...
[1576893618.930][WARNING]: Timed out connecting to Chrome, retrying...
[1576893622.952][WARNING]: Timed out connecting to Chrome, retrying...
[1576893635.885][WARNING]: Timed out connecting to Chrome, retrying...
[1576893639.906][WARNING]: Timed out connecting to Chrome, retrying...
[1576893658.367][WARNING]: Timed out connecting to Chrome, retrying...
[1576893662.385][WARNING]: Timed out connecting to Chrome, retrying...
[1576893672.203][WARNING]: Timed out connecting to Chrome, retrying...
[1576893676.253][WARNING]: Timed out connecting to Chrome, retrying...
[1576893683.879][WARNING]: Timed out connecting to Chrome, retrying...
[1576893687.944][WARNING]: Timed out connecting to Chrome, retrying...
[1576893697.379][WARNING]: Timed out connecting to Chrome, retrying...
[1576893701.401][WARNING]: Timed out connecting to Chrome, retrying...
